#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty1', '--experiment-name=AlsomitraProperty1', '--logic=GD']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,1.0,1.0,0.8177765011787415,0.0,0.0,0.0,1.6661558151245117
1,0.5749644173516167,0.8701178232828776,0.9828403260972765,0.9995936751365662,1.000406265258789,0.7573779424031576,0.0,0.0,0.4486747349009794,0.620875919566435,0.8402539982515222,0.6698318719863892,0.0,0.0,5.558618783950806,1.5477795600891113
2,0.356946415371365,0.392349640528361,0.5904654926723905,0.9948360323905945,1.0051639080047607,0.5947976642184787,0.008680555555555556,0.0,0.2531060331008014,0.16370595202726476,0.3486746619729435,0.5030964612960815,0.11029411764705882,0.0,5.586471796035767,1.5914018154144287
3,0.18096968862745497,0.06509872277577718,0.17271734608544242,0.99689120054245,1.0031087398529053,0.4219038221571181,0.4930555555555556,0.0642361111111111,0.13500003253712373,0.009716479217304903,0.04980659134247724,0.36742350459098816,0.9044117647058824,0.7426470588235294,5.555363416671753,1.5687651634216309
4,0.11221975750393337,0.0014221907282869022,0.01703553895155589,0.9998090267181396,1.0001908540725708,0.3338443968031142,0.9756944444444444,0.8559027777777778,0.11853689305922564,0.0012959513594122494,0.01172301173210144,0.3442918658256531,0.9779411764705882,0.8308823529411765,5.5252251625061035,1.5307857990264893
5,0.11161082320743138,9.836877385775249e-05,0.0020761858257982465,1.001772403717041,0.9982275366783142,0.33292815420362687,0.9965277777777778,0.9652777777777778,0.12269149107091568,0.0004591674489133498,0.0024387520902297076,0.350273460149765,0.9852941176470589,0.9411764705882353,5.457592725753784,1.5231962203979492
6,0.11215081479814318,0.0,0.00040116626769304276,1.0035523176193237,0.9964476823806763,0.33422737651401097,1.0,0.9861111111111112,0.10893691287321203,0.0,0.0,0.33005592226982117,1.0,1.0,5.549578428268433,1.77811861038208
7,0.0959836377037896,0.0,0.0,1.0052220821380615,0.9947778582572937,0.3085348871019151,1.0,1.0,0.09282400327570298,0.0,0.0,0.3046703338623047,1.0,1.0,6.320599555969238,1.6852662563323975
8,0.08539904488457574,0.0,0.0,1.0064311027526855,0.9935690760612488,0.2918980121612549,1.0,1.0,0.08309683379004984,0.0,0.0,0.288265198469162,1.0,1.0,5.609893560409546,1.5784146785736084
9,0.0783576766649882,0.0,0.0,1.0073578357696533,0.9926422834396362,0.2791416115230984,1.0,1.0,0.07602148196276497,0.0,0.0,0.27571994066238403,1.0,1.0,5.462828636169434,1.5394999980926514
10,0.07237567504247029,0.0,0.0,1.0080745220184326,0.9919254779815674,0.2685970465342204,1.0,1.0,0.06944640944985782,0.0,0.0,0.2635268568992615,1.0,1.0,5.69343638420105,1.5333828926086426
11,0.0693419443236457,0.0,0.0,1.008816123008728,0.991183876991272,0.26110312673780656,1.0,1.0,0.06386935009675868,0.0,0.0,0.2527238726615906,1.0,1.0,5.476918935775757,1.558114767074585
