#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty3', '--experiment-name=AlsomitraProperty3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,0.0028496985049808726,0.0026764753548537985,0.8177765011787415,1.0,1.0,0.0,1.5901427268981934
1,0.5747287538316515,0.004930321955018573,0.0038069354163275827,1.0,1.0,0.7572041087680392,1.0,1.0,0.44495495627908144,0.00920124790247749,0.005706574548693264,0.6670494675636292,1.0,1.0,4.490725040435791,1.4703242778778076
2,0.35319831636216903,0.016377220551172893,0.009144432014889188,1.0,1.0,0.5916713608635796,0.9461805555555556,1.0,0.2524622468387379,0.02996378085192512,0.014522350886288811,0.5024561882019043,0.7647058823529411,1.0,4.411903142929077,1.4342098236083984
3,0.1825934648513794,0.06296496921115452,0.02539810538291931,1.0,1.0,0.42401531007554794,0.5399305555555556,0.9166666666666666,0.13789695851943073,0.12086008576785817,0.04096061341902789,0.37134480476379395,0.2426470588235294,0.33088235294117646,4.38531756401062,1.4521253108978271
4,0.11208226945665148,0.17705180909898546,0.06730986303753322,1.0,1.0,0.3335791163974338,0.078125,0.14930555555555555,0.1141207638908835,0.2283603584065157,0.0918734354131362,0.33781763911247253,0.03676470588235294,0.1323529411764706,4.401385545730591,1.4715120792388916
5,0.10260653495788574,0.28006866243150497,0.11107640133963691,1.0,1.0,0.3189854356977675,0.022569444444444444,0.026041666666666668,0.10540011349846334,0.29478059095494885,0.11275647668277516,0.32465383410453796,0.014705882352941176,0.0,4.40842342376709,1.4837524890899658
6,0.09244144625133938,0.2606219980451796,0.1168884966108534,1.0,1.0,0.30319976806640625,0.006944444444444444,0.0,0.08671036187340231,0.22838718750897577,0.10698418757494758,0.2944662272930145,0.029411764705882353,0.0,4.50320291519165,1.4505839347839355
7,0.07823485798305935,0.22432963053385416,0.11038399404949611,1.0,1.0,0.27874000867207843,0.010416666666666666,0.0,0.07486751500297995,0.2059356465059168,0.1091315185322481,0.27361929416656494,0.007352941176470588,0.0,4.731508493423462,1.6608285903930664
8,0.0709865755505032,0.21310798327128092,0.1217909918891059,1.0,1.0,0.2662239869435628,0.001736111111111111,0.0,0.06516901885761935,0.22168207168579102,0.13309108509736903,0.2552822530269623,0.0,0.0,4.428342819213867,1.4542949199676514
9,0.062427779038747154,0.2260524166954888,0.14620706770155165,1.0,1.0,0.2492600811852349,0.0,0.0,0.05644027275197646,0.22689129324520335,0.16135253625757554,0.2375716120004654,0.0,0.0,4.346319675445557,1.4278359413146973
10,0.05540290806028578,0.24592823452419704,0.17702374193403456,1.0,1.0,0.23501676983303493,0.0,0.0,0.05044854388517492,0.26928357517018037,0.19542757202597225,0.22460752725601196,0.0,0.0,4.325651168823242,1.427626371383667
11,0.05185515350765652,0.2797735267215305,0.20611757702297634,1.0,1.0,0.22559886508517796,0.0,0.0,0.04611131373573752,0.26139133116778207,0.2248075008392334,0.21473544836044312,0.0,0.0,4.844692707061768,1.5480928421020508
12,0.04644713136884901,0.2719279925028483,0.23706327544318306,1.0,1.0,0.21469344033135307,0.0,0.0,0.043624099563149846,0.2864961343653062,0.25847707075231213,0.20886382460594177,0.0,0.0,4.315943241119385,1.435652256011963
13,0.04357359144422743,0.29019345177544487,0.2632331848144531,1.0,1.0,0.20813014772203234,0.0,0.0,0.041612463838913864,0.3205722921034869,0.28443154166726503,0.2039913386106491,0.0,0.0,4.5892493724823,1.4758386611938477
14,0.04248371389177111,0.32194126976860893,0.29860292540656197,1.0,1.0,0.20597770478990343,0.0,0.0,0.040704092558692485,0.3267513162949506,0.315854829900405,0.20175255835056305,0.0,0.0,4.343400478363037,1.4458634853363037
15,0.04004189040925768,0.3169147703382704,0.31132857004801434,1.0,1.0,0.1993490589989556,0.0,0.0,0.03834457607830272,0.31627343682681813,0.3235473071827608,0.1958177089691162,0.0,0.0,4.4345362186431885,1.4547550678253174
16,0.03825624121559991,0.3528246349758572,0.33260205056932235,1.0,1.0,0.1943659649954902,0.0,0.0,0.03700310342452105,0.3504120602327235,0.34615813984590416,0.19236190617084503,0.0,0.0,4.445464849472046,1.459317684173584
17,0.03734085957209269,0.33761188719007706,0.34599052535163033,1.0,1.0,0.19283327791425917,0.0,0.0,0.03520731014363906,0.3640846364638385,0.35756832010605755,0.1876361072063446,0.0,0.0,4.423260688781738,1.4399912357330322
18,0.03564516372150845,0.36324848069085014,0.36481157938639325,1.0,1.0,0.18835645251803929,0.0,0.0,0.03382637220270494,0.35269681145163145,0.3729719835169175,0.18391947448253632,0.0,0.0,4.370582103729248,1.4550342559814453
19,0.03500186734729343,0.36339839299519855,0.377779483795166,1.0,1.0,0.18657935990227592,0.0,0.0,0.032358674442066866,0.3732120570014505,0.3832395497490378,0.17988517880439758,0.0,0.0,4.416800260543823,1.4419691562652588
20,0.03365052739779154,0.3768320083618164,0.3934748437669542,1.0,1.0,0.18255388736724854,0.0,0.0,0.03161806919995476,0.3666536948260139,0.40301987704108744,0.17781470715999603,0.0,0.0,4.340528249740601,1.4446358680725098
21,0.03365438514285617,0.3912649154663086,0.4080318609873454,1.0,1.0,0.18273936377631295,0.0,0.0,0.030136196052326876,0.3688346357906566,0.40516216614667105,0.1735977977514267,0.0,0.0,4.379032611846924,1.4460692405700684
22,0.031630612081951566,0.400403446621365,0.4198978741963704,1.0,1.0,0.1776537232928806,0.0,0.0,0.029630338444429284,0.3678003479452694,0.4266182394588695,0.1721346527338028,0.0,0.0,4.3687708377838135,1.4743726253509521
23,0.031291706694497004,0.39928515752156574,0.4268108738793267,1.0,1.0,0.17598848872714573,0.0,0.0,0.027992451892179603,0.3903939303229837,0.41899944754207835,0.1673094481229782,0.0,0.0,4.453446388244629,1.4532358646392822
24,0.03048011991712782,0.41448232862684464,0.43805845578511554,1.0,1.0,0.17399381266699898,0.0,0.0,0.027346395394381356,0.40661295722512636,0.43752479553222656,0.16536745429039001,0.0,0.0,4.386556148529053,1.4331412315368652
