#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty3', '--experiment-name=AlsomitraProperty3', '--logic=LL']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,0.0028496985049808726,0.0026764753548537985,0.8177765011787415,1.0,1.0,0.0,1.542374610900879
1,0.5752176178826226,0.004863799446158939,0.003694488356510798,0.9926912784576416,1.007308840751648,0.7575417624579536,1.0,1.0,0.44655558642219095,0.008996076443616082,0.0054367066306226395,0.6682481169700623,1.0,1.0,4.481947898864746,1.46943998336792
2,0.35635103119744194,0.015832626157336764,0.008599766426616244,0.984035849571228,1.015964150428772,0.5943932003445096,0.9461805555555556,1.0,0.25616881426642923,0.028375350377138925,0.01364945576471441,0.5061312317848206,0.7720588235294118,1.0,4.445476531982422,1.4610929489135742
3,0.18734285566541883,0.05652834309471978,0.023208964202139113,0.9765316247940063,1.0234684944152832,0.42969369888305664,0.5659722222222222,0.9461805555555556,0.14372895745670095,0.10415354896994199,0.03620771099539364,0.379116028547287,0.36764705882352944,0.6911764705882353,4.389413356781006,1.40645432472229
4,0.11579320165846083,0.13914208941989475,0.052978303697374135,0.9715168476104736,1.0284830331802368,0.3389284345838759,0.21180555555555555,0.2517361111111111,0.113626150523915,0.1580184487735524,0.06208670840543859,0.3370847702026367,0.09558823529411764,0.19117647058823528,4.7618162631988525,1.4186797142028809
5,0.10091106096903484,0.1685121324327257,0.06179031398561266,0.967178225517273,1.0328218936920166,0.3163137171003554,0.08333333333333333,0.13194444444444445,0.10692185514113482,0.1491555466371424,0.051340341567993164,0.326989084482193,0.19117647058823528,0.19117647058823528,4.315375566482544,1.4258098602294922
6,0.1030904319551256,0.11629299322764079,0.04725845323668586,0.9643454551696777,1.0356544256210327,0.32022153006659615,0.234375,0.2222222222222222,0.1061397019554587,0.09668627907248105,0.04141067056094899,0.3257908821105957,0.3161764705882353,0.5294117647058824,4.348790407180786,1.4711837768554688
7,0.102280769083235,0.09469684627321032,0.04112951291932,0.9621022343635559,1.0378977060317993,0.3193007840050591,0.3333333333333333,0.4826388888888889,0.09683639161727008,0.09335646909825943,0.04179694372064927,0.31118547916412354,0.3382352941176471,0.4338235294117647,4.447789430618286,1.4741840362548828
8,0.0917332371075948,0.09809621175130208,0.04404347472720676,0.9600777626037598,1.0399221181869507,0.30278327729966903,0.2934027777777778,0.24131944444444445,0.08386703098521513,0.10788700159858255,0.04726556820027968,0.2895980477333069,0.27205882352941174,0.14705882352941177,4.492154836654663,1.4641504287719727
9,0.0836414032512241,0.09521993001302083,0.04497451914681329,0.9583474397659302,1.0416526794433594,0.28863586319817436,0.3072916666666667,0.3368055555555556,0.07784604325014002,0.08761802140404196,0.046110770281623394,0.27900904417037964,0.3382352941176471,0.4117647058823529,4.419935703277588,1.4723572731018066
