#['../main.py', '--dataset=dice', '--epochs=100', '--batch-size=8', '--lr=5e-4', '--save-onnx', '--oracle-steps=70', '--oracle-restarts=50', '--constraint=OppositeFaces', '--experiment-name=OppositeFaces', '--save-imgs']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.204255945542279,0.02406065253650441,0.03334558360716876,0.47303929048426013,1.0,0.22058823529411764,0.0,41.01883816719055
1,0.6972254584817326,0.025296668795978323,0.036957249921910906,1.0,1.0,0.49325982262106505,1.0,0.07352941176470588,4.189632191377528,0.02671591499272515,0.04051547541337855,0.4754902334774242,1.0,0.0,152.75144267082214,40.660099029541016
2,0.6944082484525793,0.029844659216263714,0.04603403456070844,1.0,1.0,0.5,0.9779411764705882,0.0,4.1526780969956345,0.035207509994506836,0.05671729059780345,0.5220588235294118,0.9411764705882353,0.0,150.74416828155518,40.021891355514526
3,0.6898007112390855,0.0363546750124763,0.06120925791123334,1.0,1.0,0.5502450606402229,0.8492647058823529,0.003676470588235294,4.1256256103515625,0.039236696327433866,0.0762165013481589,0.5294117647058824,0.7205882352941176,0.0,151.61606669425964,39.56426692008972
4,0.6867860906264361,0.038799029939314895,0.08797573342042811,1.0,1.0,0.5692402334774241,0.5882352941176471,0.0,4.110209745519302,0.03788966641706579,0.08617305755615234,0.5220588235294118,0.7352941176470589,0.0,150.10322260856628,39.71106266975403
5,0.6827789755428538,0.037041362594155705,0.08439554186428294,1.0,1.0,0.5778186461504768,0.6948529411764706,0.0,4.0804613898782165,0.03554389757268569,0.10026278215296128,0.5294118208043715,0.6911764705882353,0.0,149.58152222633362,39.574660301208496
6,0.6798972522511202,0.038465517408707565,0.09598304243648753,1.0,1.0,0.5894606534172507,0.5073529411764706,0.0,4.06803175982307,0.03474517078960643,0.10169445767122157,0.5416667040656594,0.6470588235294118,0.0,150.26163148880005,39.578312158584595
7,0.6725254619822782,0.03619823035071878,0.09499207664938535,1.0,1.0,0.6170342950259938,0.5551470588235294,0.0,4.028316722196691,0.03629336637609145,0.1325074925142176,0.5882353502161363,0.5735294117647058,0.0,149.284987449646,39.503434896469116
8,0.6629583134370691,0.033929589916678035,0.10951564592473648,1.0,1.0,0.6133578805362477,0.5919117647058824,0.0,3.99152733297909,0.03416967742583331,0.10410154567045324,0.5931372362024644,0.5,0.0,150.0728726387024,39.5803120136261
9,0.6532983779907227,0.029285178465001723,0.09942295270807602,1.0,1.0,0.6580881791956285,0.7352941176470589,0.0,3.9243563483743107,0.029903857146992403,0.11106344531564151,0.5784314099480125,0.6323529411764706,0.0,149.6482002735138,39.714359521865845
10,0.634118585025563,0.0285907317610348,0.112265944480896,1.0,1.0,0.6488970588235294,0.6875,0.0,3.8127387551700367,0.028922480695387897,0.12404697081621956,0.6274509990916532,0.6764705882352942,0.0,149.36088037490845,39.51627278327942
11,0.6236366384169635,0.023056848960764268,0.10883024159599752,1.0,1.0,0.6636029972749597,0.7794117647058824,0.0,3.7503269419950596,0.02510366720311782,0.11821413040161133,0.6299019981833065,0.6911764705882353,0.0,150.01714301109314,39.16730046272278
12,0.6083170946906594,0.020890739034203923,0.1046982582877664,1.0,1.0,0.6783088235294118,0.8272058823529411,0.0,3.674864825080423,0.025085237096337712,0.13764326712664435,0.6446079366347369,0.75,0.0,149.94609475135803,39.76512575149536
13,0.5912132824168486,0.019543521544512582,0.10764009111067828,1.0,1.0,0.6936274135813993,0.8345588235294118,0.003676470588235294,3.5883629742790673,0.01880993913201725,0.10840945384081672,0.6617647619808421,0.8970588235294118,0.0,149.43251490592957,39.7592351436615
14,0.5733610041001264,0.01750773366759805,0.11667455645168529,1.0,1.0,0.698529467863195,0.8345588235294118,0.0,3.5360500111299404,0.0146770039025475,0.10395210630753461,0.6593137628891889,0.9411764705882353,0.0,150.10830760002136,39.789323806762695
15,0.5640190909890568,0.013435894075561972,0.11041627911960378,1.0,1.0,0.7169117647058824,0.9044117647058824,0.01838235294117647,3.4284331377814796,0.016387471381355736,0.1280069210950066,0.6666667040656594,0.8676470588235294,0.0,149.92195391654968,39.428669691085815
16,0.5429255541633157,0.01380630275782417,0.12282560853397145,1.0,1.0,0.7450981140136719,0.8970588235294118,0.007352941176470588,3.3441215963924633,0.016731954672757315,0.138017219655654,0.7132353502161363,0.8970588235294118,0.0,149.28674793243408,39.591246128082275
